u,vT,vB,width,disp
1508,722,774,7,16.4907
1508,776,860,7,23.468
1515,0,2,7,4.1875
1515,4,66,7,12.8333
1515,68,140,7,19.0729
1515,142,216,7,13
1515,218,356,7,7.46739
1515,358,600,7,9.75205
1515,602,718,7,12.1123
1515,720,772,7,16.4306
1515,774,854,7,23.4604
1522,0,198,7,19.9963
1522,200,230,7,13.0469
1522,232,352,7,7.29375
1522,354,610,7,9.91182
1522,612,720,7,12.25
1522,722,770,7,16.495
1522,772,854,7,23.4851
1529,0,220,7,20.3524
1529,222,348,7,7.1225
1529,350,424,7,11.4408
1529,426,604,7,9.85694
1529,606,722,7,12.1462
1529,724,778,7,17.0759
1529,780,862,7,24.2202
1536,0,252,7,21.1413
1536,254,342,7,7.01389
1536,344,424,7,11.7774
1536,426,596,7,10.1599
1536,598,724,7,12.2461
1536,726,778,7,17.3056
1536,780,862,7,24.375
1543,0,252,7,21.2738
1543,254,334,7,7.08333
1543,336,642,7,11.3466
1543,644,728,7,12.9913
1543,730,782,7,17.9352
1543,784,880,7,25.4566
1550,0,256,7,21.2829
1550,258,330,7,7.20946
1550,332,724,7,12.0895
1550,726,786,7,18.1452
1550,788,890,7,26.4135
1557,0,264,7,21.4865
1557,266,324,7,7.44583
1557,326,724,7,12.3162
1557,726,788,7,18.3281
1557,790,888,7,26.485
1564,0,258,7,21.7519
1564,260,310,7,7.47024
1564,312,648,7,12.0762
1564,650,726,7,13.8173
1564,728,788,7,18.4798
1564,790,888,7,26.4625
1571,0,262,7,21.8002
1571,264,306,7,7.27778
1571,308,632,7,12.2009
1571,634,724,7,13.8505
1571,726,788,7,18.4648
1571,790,888,7,26.4575
1578,0,268,7,21.7954
1578,270,298,7,6.83654
1578,300,634,7,12.3847
1578,636,730,7,14.0833
1578,732,790,7,19.0167
1578,792,890,7,26.495
1585,0,270,7,21.7123
1585,272,300,7,7.20833
1585,302,718,7,13.1112
1585,720,788,7,18.4321
1585,790,886,7,26.5
1592,0,270,7,21.6618
1592,272,296,7,7.72115
1592,298,722,7,13.4308
1592,724,794,7,19.0208
1592,796,898,7,27.4471
1599,0,270,7,21.4366
1599,272,292,7,8.71591
1599,294,400,7,12.3542
1599,402,726,7,14.1189
1599,728,790,7,19.1172
1599,792,898,7,27.4861
1606,0,258,7,21.3087
1606,260,394,7,12.2371
1606,396,724,7,14.1932
1606,726,796,7,19.4375
1606,798,906,7,28.225
1613,0,258,7,21.3192
1613,260,376,7,12.4025
1613,378,722,7,14.1561
1613,724,794,7,19.4167
1613,796,908,7,28.4759
1620,0,250,7,21.379
1620,252,340,7,12.4944
1620,342,720,7,14.148
1620,722,794,7,19.4358
1620,796,912,7,28.4682
1627,0,240,7,21.4483
1627,242,724,7,14.017
1627,726,790,7,19.4962
1627,792,912,7,28.3975
1634,0,244,7,21.4909
1634,246,720,7,14.3151
1634,722,804,7,20.1399
1634,806,916,7,29.4464
1641,0,234,7,21.4915
1641,236,726,7,14.6707
1641,728,802,7,20.4309
1641,804,916,7,29.4781
1648,0,234,7,21.4883
1648,236,724,7,14.9566
1648,726,802,7,20.4679
1648,804,912,7,29.4682
1655,0,226,7,21.8169
1655,228,728,7,15.4303
1655,730,808,7,21.0656
1655,810,920,7,30.4799
1662,0,236,7,21.4737
1662,238,572,7,16.3876
1662,574,710,7,14.5
1662,712,806,7,20.1432
1662,808,920,7,30.4781
1669,0,160,7,22.3765
1669,162,294,7,19.4981
1669,296,734,7,15.8864
1669,736,808,7,21.4392
1669,810,936,7,31.4629
1676,0,218,7,22.4636
1676,220,300,7,19.4909
1676,302,546,7,16.498
1676,548,710,7,14.4604
1676,712,804,7,20.4309
1676,806,936,7,31.4318
1683,0,230,7,22.4828
1683,232,302,7,19.4444
1683,304,734,7,15.8513
1683,736,814,7,22.1844
1683,816,938,7,32.2802
1690,0,168,7,23.4956
1690,170,300,7,20.2652
1690,302,740,7,15.9932
1690,742,814,7,22.473
1690,816,936,7,32.3955
1697,0,172,7,23.4741
1697,174,302,7,20.0135
1697,304,734,7,16.1082
1697,736,812,7,22.2468
1697,814,934,7,32.4877
1704,0,178,7,23.4694
1704,180,304,7,19.9921
1704,306,734,7,16.1855
1704,736,810,7,22.3125
1704,812,932,7,32.4816
1711,0,180,7,23.4931
1711,182,308,7,19.8828
1711,310,730,7,16.1771
1711,732,814,7,22.4405
1711,816,944,7,33.2481
1718,0,188,7,23.4789
1718,190,296,7,19.9236
1718,298,730,7,16.2137
1718,732,814,7,22.4911
1718,816,950,7,33.4761
1725,0,198,7,23.4912
1725,200,290,7,19.9701
1725,292,728,7,16.3202
1725,730,812,7,22.4643
1725,814,952,7,33.4929
1732,0,194,7,23.4962
1732,196,284,7,19.9333
1732,286,736,7,16.4204
1732,738,822,7,23.4797
1732,824,960,7,34.4529
1739,0,152,7,24.3685
1739,154,278,7,20.4841
1739,280,732,7,16.3987
1739,734,818,7,23.4331
1739,820,960,7,34.4683
1746,0,170,7,24.4288
1746,172,274,7,20.1683
1746,276,734,7,16.4255
1746,736,826,7,24.5
1746,828,966,7,35.1911
1753,0,146,7,24.478
1753,148,278,7,20.2973
1753,280,310,7,12.4219
1753,312,684,7,16.375
1753,686,746,7,18.8065
1753,748,958,7,34.4846
1760,0,132,7,24.9142
1760,134,272,7,20.2768
1760,274,332,7,12.4958
1760,334,738,7,16.7802
1760,740,962,7,34.4909
1767,0,144,7,24.4932
1767,146,266,7,20.043
1767,268,330,7,12.3555
1767,332,738,7,16.7696
1767,740,964,7,35.4867
1774,0,154,7,24.4776
1774,156,254,7,20.075
1774,256,324,7,12.2214
1774,326,734,7,16.75
1774,736,964,7,35.477
1781,0,150,7,24.4836
1781,152,252,7,20.2353
1781,254,322,7,12.1321
1781,324,736,7,16.8702
1781,738,962,7,35.4635
1788,0,158,7,24.4391
1788,160,250,7,19.9755
1788,252,310,7,12.0167
1788,312,638,7,16.4733
1788,640,754,7,18.7263
1788,756,974,7,36.4614
1795,0,168,7,24.4676
1795,170,250,7,20.0305
1795,252,300,7,12.05
1795,302,620,7,16.4953
1795,622,758,7,18.8533
1795,760,962,7,34.4792
1802,0,166,7,24.4568
1802,168,236,7,20.1107
1802,238,308,7,12.441
1802,310,738,7,17.1849
1802,740,836,7,25.4541
1802,838,986,7,37.4783
1809,0,166,7,24.3438
1809,168,228,7,20.1694
1809,230,300,7,12.4514
1809,302,740,7,17.2602
1809,742,834,7,25.4707
1809,836,986,7,37.4605
1816,0,228,7,23.2
1816,230,298,7,12.6429
1816,300,744,7,17.4664
1816,746,844,7,26.105
1816,846,994,7,38.475
1823,0,230,7,23.2144
1823,232,296,7,12.3523
1823,298,660,7,17.0213
1823,662,752,7,20.1712
1823,754,842,7,26.4917
1823,844,994,7,38.4819
1830,0,166,7,24.2485
1830,168,228,7,19.8992
1830,230,292,7,12.4531
1830,294,654,7,17.0518
1830,656,762,7,20.4861
1830,764,848,7,27.2965
1830,850,1002,7,39.4708
1837,0,232,7,23.2694
1837,234,282,7,13.025
1837,284,650,7,16.9701
1837,652,760,7,20.4568
1837,762,848,7,27.2017
1837,850,1012,7,40.3064
1844,0,240,7,23.4421
1844,242,530,7,16.4948
1844,532,746,7,18.9259
1844,748,844,7,26.4719
1844,846,1012,7,40.4896
1851,0,246,7,23.4637
1851,248,642,7,16.8466
1851,644,760,7,20.4725
1851,762,844,7,27.1071
1851,846,1010,7,40.4774
1858,0,258,7,23.475
1858,260,288,7,13.2333
1858,290,648,7,17.1917
1858,650,756,7,20.4051
1858,758,852,7,27.4349
1858,854,1014,7,41.2269
1865,0,248,7,23.48
1865,250,654,7,17.242
1865,656,756,7,20.4093
1865,758,848,7,27.4348
1865,850,1004,7,40.4776
1872,0,260,7,23.4885
1872,262,670,7,17.4274
1872,672,746,7,20.2993
1872,748,852,7,27.4858
1872,854,1006,7,40.474
1879,0,256,7,24.2597
1879,258,662,7,17.4988
1879,664,756,7,20.4814
1879,758,856,7,28.2075
1879,858,998,7,40.4965
1886,0,258,7,24.1471
1886,260,636,7,17.4993
1886,638,758,7,20.123
1886,760,858,7,28.4575
1886,860,1010,7,41.4079
1893,0,258,7,23.8202
1893,260,752,7,18.1154
1893,754,860,7,28.4931
1893,862,1006,7,41.4692
1900,0,272,7,23.4808
1900,274,746,7,18.115
1900,748,860,7,28.3925
1900,862,1004,7,41.4809
1907,0,262,7,23.839
1907,264,744,7,18.1919
1907,746,858,7,28.4232
1907,860,1010,7,41.4753
1914,26,28,7,4.1875
1914,46,48,7,22.5
1914,68,72,7,10.375
1914,128,140,7,4.95833
1914,142,146,7,22.0417
1914,148,378,7,1.35976
1914,380,384,7,6.41667
1914,386,558,7,1.46121
1914,560,562,7,15
1914,598,604,7,14.875
1914,606,670,7,0.557692
